Date	Product	Units
1/1/2015	Bellen	10
12/29/2014	Sunset	85
1/3/2015	Bellen	100
1/4/2015	Sunset	75
1/4/2015	Sunset	45
1/6/2015	Bellen	60
1/3/2015	Sunset	50
12/29/2014	Sunset	65
12/30/2014	Sunset	65
12/31/2014	Bellen	20
12/27/2014	Bellen	20
1/5/2015	Quad	95
12/29/2014	Quad	60
12/27/2014	Bellen	70
12/27/2014	Bellen	25
12/29/2014	Yanaki	95
1/3/2015	Quad	70
12/30/2014	Quad	50
1/1/2015	Sunset	85
12/31/2014	Quad	10
1/5/2015	Bellen	95
1/5/2015	Yanaki	50
1/1/2015	Bellen	75
12/28/2014	Quad	50
12/29/2014	Bellen	10
12/31/2014	Sunset	20
1/4/2015	Yanaki	35
12/29/2014	Bellen	15
1/3/2015	Quad	75
1/1/2015	Quad	70
12/28/2014	Quad	85
1/5/2015	Bellen	70
1/3/2015	Sunset	40
12/31/2014	Yanaki	55
1/3/2015	Quad	35
12/31/2014	Quad	60
1/6/2015	Yanaki	40
1/1/2015	Yanaki	30
12/29/2014	Quad	40
1/2/2015	Yanaki	35
12/31/2014	Bellen	65
1/1/2015	Yanaki	95
12/28/2014	Yanaki	10
1/3/2015	Bellen	20
12/31/2014	Sunset	85
12/29/2014	Quad	80
12/31/2014	Quad	65
12/27/2014	Quad	10
1/4/2015	Bellen	75
1/1/2015	Quad	65
12/27/2014	Bellen	35
12/29/2014	Quad	40
12/27/2014	Sunset	65
12/27/2014	Bellen	65
12/30/2014	Quad	30
12/28/2014	Yanaki	85
12/28/2014	Quad	65
12/31/2014	Bellen	40
12/28/2014	Yanaki	70
1/5/2015	Bellen	90
1/5/2015	Quad	100
12/30/2014	Bellen	50
1/5/2015	Yanaki	75
1/2/2015	Sunset	90
1/6/2015	Sunset	60
12/31/2014	Sunset	40
1/1/2015	Yanaki	65
12/31/2014	Sunset	85
12/29/2014	Yanaki	35
1/3/2015	Bellen	15
12/31/2014	Bellen	35
1/6/2015	Yanaki	65
1/6/2015	Yanaki	15
12/31/2014	Yanaki	100
12/29/2014	Yanaki	70
1/2/2015	Quad	40
1/5/2015	Quad	75
12/27/2014	Yanaki	80
1/5/2015	Yanaki	100
12/29/2014	Yanaki	45
1/6/2015	Yanaki	70
12/28/2014	Yanaki	70
1/1/2015	Bellen	95
1/1/2015	Sunset	65
12/31/2014	Yanaki	80
1/5/2015	Bellen	25
1/3/2015	Bellen	70
12/27/2014	Quad	65
12/30/2014	Sunset	15
12/29/2014	Bellen	95
1/5/2015	Sunset	45
12/31/2014	Yanaki	70
1/4/2015	Bellen	80
1/6/2015	Sunset	45
1/5/2015	Yanaki	75
1/1/2015	Sunset	65
12/29/2014	Yanaki	55
1/2/2015	Bellen	85
12/28/2014	Quad	15
1/2/2015	Yanaki	90
12/29/2014	Quad	85
1/3/2015	Yanaki	95
12/30/2014	Bellen	75
1/6/2015	Yanaki	30
1/3/2015	Sunset	10
1/4/2015	Sunset	30
1/4/2015	Quad	40
1/2/2015	Bellen	75
12/31/2014	Sunset	40
1/6/2015	Quad	50
1/5/2015	Bellen	85
1/2/2015	Bellen	55
1/1/2015	Sunset	75
12/30/2014	Sunset	45
12/27/2014	Yanaki	35
12/28/2014	Quad	45
1/2/2015	Sunset	35
12/27/2014	Yanaki	10
1/4/2015	Quad	95
12/29/2014	Sunset	25
12/31/2014	Bellen	70
12/31/2014	Yanaki	30
1/1/2015	Quad	60
12/27/2014	Bellen	45
1/4/2015	Quad	50
12/31/2014	Yanaki	95
1/1/2015	Sunset	90
1/6/2015	Bellen	20
1/6/2015	Bellen	85
1/2/2015	Quad	90
12/29/2014	Bellen	50
12/27/2014	Sunset	85
1/5/2015	Yanaki	65
1/3/2015	Bellen	60
1/5/2015	Bellen	80
1/6/2015	Sunset	80
1/4/2015	Yanaki	100
12/31/2014	Bellen	90
1/5/2015	Bellen	55
12/27/2014	Bellen	45
1/1/2015	Sunset	95
12/27/2014	Yanaki	40
1/4/2015	Quad	15
1/5/2015	Bellen	50
1/4/2015	Quad	90
1/5/2015	Sunset	60
1/3/2015	Yanaki	25
1/2/2015	Bellen	60
1/2/2015	Sunset	25
1/1/2015	Sunset	85
12/30/2014	Sunset	20
1/1/2015	Bellen	50
1/1/2015	Yanaki	75
1/1/2015	Bellen	10
12/29/2014	Sunset	85
1/3/2015	Bellen	100
1/4/2015	Sunset	75
1/4/2015	Sunset	45
1/6/2015	Bellen	60
1/3/2015	Sunset	50
12/29/2014	Sunset	65
12/30/2014	Sunset	65
12/31/2014	Bellen	20
12/27/2014	Bellen	20
1/5/2015	Quad	95
12/29/2014	Quad	60
12/27/2014	Bellen	70
12/27/2014	Bellen	25
12/29/2014	Yanaki	95
1/3/2015	Quad	70
12/30/2014	Quad	50
1/1/2015	Sunset	85
12/31/2014	Quad	10
1/5/2015	Bellen	95
1/5/2015	Yanaki	50
1/1/2015	Bellen	75
12/28/2014	Quad	50
12/29/2014	Bellen	10
12/31/2014	Sunset	20
1/4/2015	Yanaki	35
12/29/2014	Bellen	15
1/3/2015	Quad	75
1/1/2015	Quad	70
12/28/2014	Quad	85
1/5/2015	Bellen	70
1/3/2015	Sunset	40
12/31/2014	Yanaki	55
1/3/2015	Quad	35
12/31/2014	Quad	60
1/6/2015	Yanaki	40
1/1/2015	Yanaki	30
12/29/2014	Quad	40
1/2/2015	Yanaki	35
12/31/2014	Bellen	65
1/1/2015	Yanaki	95
12/28/2014	Yanaki	10
1/3/2015	Bellen	20
12/31/2014	Sunset	85
12/29/2014	Quad	80
12/31/2014	Quad	65
12/27/2014	Quad	10
1/4/2015	Bellen	75
1/1/2015	Quad	65
12/27/2014	Bellen	35
12/29/2014	Quad	40
12/27/2014	Sunset	65
12/27/2014	Bellen	65
12/30/2014	Quad	30
12/28/2014	Yanaki	85
12/28/2014	Quad	65
12/31/2014	Bellen	40
12/28/2014	Yanaki	70
1/5/2015	Bellen	90
1/5/2015	Quad	100
12/30/2014	Bellen	50
1/5/2015	Yanaki	75
1/2/2015	Sunset	90
1/6/2015	Sunset	60
12/31/2014	Sunset	40
1/1/2015	Yanaki	65
12/31/2014	Sunset	85
12/29/2014	Yanaki	35
1/3/2015	Bellen	15
12/31/2014	Bellen	35
1/6/2015	Yanaki	65
1/6/2015	Yanaki	15
12/31/2014	Yanaki	100
12/29/2014	Yanaki	70
1/2/2015	Quad	40
